Name,smiles_sulfonamide,inchi_sulfonamide,Bromo ester,Celebrex,Cyano,Dimethylamino,Ether,Furan,Iodo,Isoxazole,Pyridine,o-ester
Bromo ester,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,"InChI=1S/C8H8BrNO4S/c1-14-8(11)5-2-6(9)4-7(3-5)15(10,12)13/h2-4H,1H3,(H2,10,12,13)",1,0,0,0,0,0,0,0,0,0
Pyridine,NS(=O)(=O)c1cccc(F)n1,"InChI=1S/C5H5FN2O2S/c6-4-2-1-3-5(8-4)11(7,9)10/h1-3H,(H2,7,9,10)",0,0,0,0,0,0,0,0,1,0
Dimethylamino,CN(C)CCS(N)(=O)=O,"InChI=1S/C4H12N2O2S/c1-6(2)3-4-9(5,7)8/h3-4H2,1-2H3,(H2,5,7,8)",0,0,0,1,0,0,0,0,0,0
o-ester,CCOC(=O)c1ccccc1S(N)(=O)=O,"InChI=1S/C9H11NO4S/c1-2-14-9(11)7-5-3-4-6-8(7)15(10,12)13/h3-6H,2H2,1H3,(H2,10,12,13)",0,0,0,0,0,0,0,0,0,1
Ether,COCCOc1ccccc1S(N)(=O)=O,"InChI=1S/C9H13NO4S/c1-13-6-7-14-8-4-2-3-5-9(8)15(10,11)12/h2-5H,6-7H2,1H3,(H2,10,11,12)",0,0,0,0,1,0,0,0,0,0
Isoxazole,Cc1cc(CS(N)(=O)=O)no1,"InChI=1S/C5H8N2O3S/c1-4-2-5(7-10-4)3-11(6,8)9/h2H,3H2,1H3,(H2,6,8,9)",0,0,0,0,0,0,0,1,0,0
Cyano,N#CCCCS(N)(=O)=O,"InChI=1S/C4H8N2O2S/c5-3-1-2-4-9(6,7)8/h1-2,4H2,(H2,6,7,8)",0,0,1,0,0,0,0,0,0,0
Celebrex,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,"InChI=1S/C17H14F3N3O2S/c1-11-2-4-12(5-3-11)15-10-16(17(18,19)20)22-23(15)13-6-8-14(9-7-13)26(21,24)25/h2-10H,1H3,(H2,21,24,25)",0,1,0,0,0,0,0,0,0,0
Furan,COC(=O)c1oc(S(N)(=O)=O)cc1C,"InChI=1S/C7H9NO5S/c1-4-3-5(14(8,10)11)13-6(4)7(9)12-2/h3H,1-2H3,(H2,8,10,11)",0,0,0,0,0,1,0,0,0,0
Iodo,IC1=CC=CC=C1S(N)(=O)=O,"InChI=1S/C6H6INO2S/c7-5-3-1-2-4-6(5)11(8,9)10/h1-4H,(H2,8,9,10)",0,0,0,0,0,0,1,0,0,0
